Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-4.5,-4)","[-4,-3.5)","[-3.5,-3)","[-3,-2.5)","[-2.5,-2)","[-2,-1.5)","[-1.5,-1)","[-1,-0.5)","[-0.5,0)","[0,0.5)","[0.5,1)","[1,1.5)","[1.5,2)","[2,2.5)","[2.5,3)","[3,3.5)"
1-28-28B,28,B,526524,1381709,1576,0.18,1253.78,225.68,0,0,0.00115307,0.005188815,0.007494955,0.022196598,0.048428942,0.12395503,0.196598443,0.269818391,0.131738253,0.055059095,0.021043528,0.016719516,0.0115307,0.089074661
1-28-29A,29,A,524433,1381454,1123,0.09,893.4,80.41,0.006296195,0.005201204,0.021899808,0.062688201,0.146728716,0.224746783,0.233506707,0.186695866,0.074459348,0.021899808,0.006296195,0.004106214,0.003011224,0.001642486,0.000547495,0.000273748
1-28-29B,29,B,524433,1381454,1496,0.14,1190.14,166.62,0,0,0,0.002898551,0.006956522,0.028695652,0.070144928,0.152753623,0.240289855,0.288115942,0.151594203,0.046666667,0.010144928,0.001449275,0.000289855,0
1-28-30 M,30,M,523722,1381349,1446,0.24,1150.36,276.09,0,0,0.008211144,0.01202346,0.043108504,0.097067449,0.161290323,0.211143695,0.157478006,0.114956012,0.06744868,0.048680352,0.024926686,0.01143695,0.007624633,0.034604106
1-28-31A,31,A,528142,1381657,1127,0.31,896.58,277.94,0.013928368,0.018192155,0.068789085,0.144115975,0.183342808,0.216884594,0.164866401,0.110858442,0.046048891,0.019613417,0.007390563,0.003979534,0.001705514,0.000284252,0,0
1-28-31B,31,B,528142,1381657,1512,0.35,1202.86,421,0,0,0.006488011,0.002820874,0.014104372,0.048236953,0.113963329,0.204513399,0.230183357,0.198307475,0.083779972,0.027080395,0.007334274,0.004513399,0.005359661,0.053314528
1-28-32A,32,A,529178,1382180,1478,0,1175.82,0,0,0,0.009285312,0.032920653,0.059088351,0.124648284,0.187957231,0.229037704,0.188519977,0.11705121,0.038829488,0.010410805,0.001969612,0.000281373,0,0
1-28-32B,32,B,529178,1382180,1461,0,1162.29,0,0,0.004167824,0.008891359,0.027785496,0.057238122,0.113920533,0.173937205,0.221172548,0.172825785,0.124479022,0.053903862,0.023339817,0.008335649,0.003612114,0.002500695,0.003889969
1-28-33A,33,A,529811,1382324,1440,0,1145.58,0,0.031233316,0.01895355,0.044580886,0.075280299,0.12066204,0.197010144,0.190336359,0.167111586,0.087827015,0.044046983,0.015483182,0.004805125,0.00186866,0.000533903,0.000266951,0
1-28-33B,33,B,529811,1382324,1422,0,1131.26,0,0,0.008819346,0.027311522,0.044950213,0.073968706,0.141109531,0.188620199,0.203698435,0.159601707,0.120625889,0.022475107,0.005405405,0.00113798,0.000284495,0.000284495,0.00170697
1-28-34A,34,A,530232,1382772,1472,0.23,1171.04,269.34,0.028025144,0.039549502,0.074646412,0.125720272,0.148245155,0.188056574,0.161602933,0.120481928,0.065741226,0.033525406,0.009690938,0.003143007,0.001309586,0.000261917,0,0
